date,region,scenario,avg_price_usd_mwh,total_demand_mwh,energy_cost_usd_mwh,congestion_cost_usd_mwh,losses_cost_usd_mwh,renewable_share_pct,curtailment_mwh,hdd,cdd,dart_spread_usd_mwh,natgas_monthly
2023-01-23,CAISO,Baseline,35.02,101395.26049875867,32.72,2.07,0.23,40.8,15343.519636641382,6.821349251797299,0.0,-0.48,3.117
2023-01-24,CAISO,Baseline,41.21,105505.4164232883,37.29,2.44,1.47,40.3,19993.027216324517,6.584045931352067,0.0,0.35,3.117
2023-01-25,CAISO,Baseline,36.51,97794.53209286262,32.63,2.6,1.28,41.6,25957.74400693277,5.972568818845886,0.0,-0.07,3.117
2023-01-26,CAISO,Baseline,39.67,113177.8255643958,36.59,1.62,1.46,41.3,20898.049272299428,9.326144775830883,0.0,1.08,3.117
2023-01-27,CAISO,Baseline,39.9,105152.45872089035,35.54,2.77,1.59,40.4,15306.053655005871,7.557785664721479,0.0,0.58,3.117
2023-01-28,CAISO,Baseline,40.22,120007.62620786602,36.3,3.09,0.84,41.1,16045.344780582978,9.499899227486793,0.0,1.33,3.117
2023-01-29,CAISO,Baseline,37.56,105645.11670037649,34.94,1.67,0.95,40.1,7742.466201310926,6.492396516748583,0.0,0.78,3.117
2023-01-30,CAISO,Baseline,39.84,114807.6188647328,37.68,0.49,1.67,40.3,8043.105166386174,6.525879809881459,0.0,0.21,3.117
2023-01-31,CAISO,Baseline,37.58,100988.63092791503,33.73,2.44,1.41,40.8,7881.493331436765,7.362008032205944,0.0,0.15,3.117
2023-02-01,CAISO,Baseline,44.65,122761.15914469238,39.83,3.08,1.74,40.8,8627.210709034644,7.6891667345579275,0.0,0.45,3.227
2023-02-02,CAISO,Baseline,39.67,103201.58566682681,34.56,3.62,1.49,40.2,28432.649267575853,11.451802114715536,0.0,-0.0,3.227
2023-02-03,CAISO,Baseline,38.56,111834.05537314765,35.34,2.36,0.87,40.5,16213.882046245633,4.810338839654589,0.0,0.89,3.227
2023-02-04,CAISO,Baseline,37.02,102786.64160510867,33.52,2.62,0.88,40.6,11701.944443904102,10.175618708394303,0.0,0.41,3.227
2023-02-05,CAISO,Baseline,40.15,101236.34069492186,36.27,2.21,1.67,40.4,16631.75535692216,4.366343826195459,0.0,0.71,3.227
2023-02-06,CAISO,Baseline,39.47,116660.73745077389,37.92,0.71,0.85,40.1,16956.992425033954,5.812184528435509,0.0,-1.52,3.227
2023-02-07,CAISO,Baseline,39.63,113999.25688673797,37.03,1.9,0.7,40.8,10954.056901296504,4.402845023435045,0.0,0.53,3.227
2023-02-08,CAISO,Baseline,37.23,100596.74561164144,33.44,2.89,0.9,40.3,10447.824408996183,5.973942609558742,0.0,1.06,3.227
2023-02-09,CAISO,Baseline,39.06,107625.05711837369,34.96,2.53,1.56,39.6,10981.961198617675,6.8055877572156795,0.0,1.4,3.227
2023-02-10,CAISO,Baseline,37.42,91155.46818106591,34.12,1.92,1.37,39.9,10278.136574424752,6.781019087533968,0.0,0.85,3.227
2023-02-11,CAISO,Baseline,36.04,101640.8812335252,33.77,1.27,1.0,40.2,23173.320496918524,10.53130798686064,0.0,-0.25,3.227
2023-02-12,CAISO,Baseline,41.9,117718.85208802135,38.46,2.55,0.89,40.7,18249.191228266376,5.944943491018785,0.0,0.36,3.227
2023-02-13,CAISO,Baseline,37.35,107597.20245252154,34.59,1.76,1.01,40.7,26062.461830670985,4.055954990477678,0.0,0.15,3.227
2023-02-14,CAISO,Baseline,35.98,101630.12673710218,33.55,1.4,1.03,40.8,28370.27128521605,5.480901198436953,0.0,1.28,3.227
2023-02-15,CAISO,Baseline,37.52,114020.55011462679,34.8,2.34,0.38,40.3,18041.440939414108,2.4692634148631267,0.0,0.09,3.227
2023-02-16,CAISO,Baseline,35.67,99054.30264071589,32.36,1.81,1.5,40.3,25394.174928413806,5.318240718628086,0.0,-0.04,3.227
2023-02-17,CAISO,Baseline,37.0,95180.91554107204,32.82,2.51,1.67,40.1,10807.408394246077,0.6315637706962676,0.0,0.43,3.227
2023-02-18,CAISO,Baseline,39.14,104666.1670351216,35.72,1.86,1.56,40.8,16157.420279108352,4.114186409770898,0.0,0.13,3.227
2023-02-19,CAISO,Baseline,37.96,96590.96213903603,33.9,2.84,1.23,40.7,14979.65823607436,6.152863593852253,0.0,-0.33,3.227
2023-02-20,CAISO,Baseline,38.32,104784.5926101006,34.94,2.32,1.06,41.0,6629.012557906007,3.834100106097747,0.0,-0.3,3.227
2023-02-21,CAISO,Baseline,36.96,105297.00669204783,34.15,1.78,1.03,41.1,19112.073659609156,3.527327681615235,0.0,1.5,3.227
2023-02-22,CAISO,Baseline,37.73,99054.3889660105,34.37,2.07,1.28,39.8,7177.3779435940505,5.450148473940528,0.0,-0.58,3.227
2023-02-23,CAISO,Baseline,36.71,109321.45841730459,33.9,1.05,1.77,40.9,8236.845543219457,2.7999711424909375,0.0,0.7,3.227
2023-02-24,CAISO,Baseline,39.04,115498.40147657161,36.36,1.78,0.9,39.9,13672.673906625982,3.5661551902608064,0.0,-1.12,3.227
2023-02-25,CAISO,Baseline,35.67,97354.49528893089,32.75,2.12,0.8,40.6,22817.173060884194,4.942623234123808,0.0,1.35,3.227
2023-02-26,CAISO,Baseline,36.97,100162.10819765076,33.61,2.11,1.26,42.0,6572.19715979587,3.7552522552189576,0.0,0.4,3.227
2023-02-27,CAISO,Baseline,37.4,117660.94412690948,34.96,1.18,1.26,39.7,11592.57634501562,5.064955582995712,0.0,0.81,3.227
2023-02-28,CAISO,Baseline,40.5,120238.96978215054,38.24,1.22,1.04,41.2,7043.704862744382,4.871209935240756,0.0,1.01,3.227
2023-03-01,CAISO,Baseline,36.85,109646.96936760722,34.34,1.6,0.92,40.9,14342.009594137271,4.364074133989224,0.0,-1.14,2.884
2023-03-02,CAISO,Baseline,38.27,112276.9145924037,33.53,3.48,1.26,40.1,25809.36170384981,5.27162728914557,0.0,0.47,2.884
2023-03-03,CAISO,Baseline,38.41,105714.3809647992,35.71,1.63,1.07,41.4,17936.565161657738,2.3230542425658918,0.0,-0.76,2.884
2023-03-04,CAISO,Baseline,41.35,111401.20359265829,37.77,2.93,0.65,40.9,9251.949404029301,0.21181291960667537,0.0,-0.72,2.884
2023-03-05,CAISO,Baseline,36.21,98080.18591167718,32.08,3.2,0.93,41.1,29902.51298818407,1.5032408314225378,0.0,1.14,2.884
2023-03-06,CAISO,Baseline,42.61,113049.70582629852,39.02,2.04,1.54,40.5,21810.951386352608,3.2014921117529003,0.0,-0.16,2.884
2023-03-07,CAISO,Baseline,38.91,111671.56459312707,36.65,0.71,1.54,41.0,22163.079080528467,2.172446608902865,0.0,-0.81,2.884
2023-03-08,CAISO,Baseline,38.52,115763.79185264566,36.4,0.79,1.33,41.2,24236.354886793644,0.23901980825510805,0.0,0.72,2.884
2023-03-09,CAISO,Baseline,39.84,116125.79192158185,37.49,1.0,1.35,40.8,12405.201638468654,1.4250464436213015,0.0,-0.52,2.884
2023-03-10,CAISO,Baseline,39.5,109621.21484734386,35.44,2.84,1.22,41.3,16612.370376181232,0.0,1.7691985674623147,1.62,2.884
2023-03-11,CAISO,Baseline,36.63,96494.65434298012,33.79,1.88,0.96,39.9,23655.89716023636,0.06436835067535895,0.0,-0.47,2.884
2023-03-12,CAISO,Baseline,37.23,106790.57304125716,33.55,2.43,1.25,40.8,11823.625523301502,0.0,1.3486883976677895,1.04,2.884
2023-03-13,CAISO,Baseline,38.18,112196.25788184431,35.51,1.82,0.85,40.5,11018.262568007285,1.2948026683594307,0.0,1.33,2.884
2023-03-14,CAISO,Baseline,35.78,97717.55749863842,32.68,1.81,1.29,41.6,8582.416796235551,0.0,0.35493998450161257,0.87,2.884
2023-03-15,CAISO,Baseline,39.64,114534.63355936854,36.08,2.68,0.88,40.4,13580.273211344966,2.0671136379967407,0.0,-2.93,2.884
2023-03-16,CAISO,Baseline,42.53,121290.05026960348,38.08,3.01,1.45,41.1,18314.96011116981,0.0,1.6298659110881921,1.07,2.884
2023-03-17,CAISO,Baseline,38.9,105787.0115001691,35.13,2.46,1.32,40.4,30186.22869391626,0.0,1.4737162553329632,0.32,2.884
2023-03-18,CAISO,Baseline,39.53,113618.22615157606,35.96,2.3,1.27,41.2,19321.97662419723,1.632973484980873,0.0,2.12,2.884
2023-03-19,CAISO,Baseline,37.19,107104.01606516083,35.02,0.67,1.49,40.7,6558.2806530093585,0.0,1.755911799819767,0.03,2.884
2023-03-20,CAISO,Baseline,35.23,107961.5339681749,33.53,0.36,1.33,40.6,7841.942609106506,0.0,4.044052820445344,0.01,2.884
2023-03-21,CAISO,Baseline,38.4,106877.04675501202,35.57,1.14,1.7,40.3,6696.629953979625,0.0,3.790245621805319,1.42,2.884
2023-03-22,CAISO,Baseline,41.35,118551.42268425942,37.49,2.49,1.37,40.9,8376.610493933704,0.6167705915021031,0.0,1.0,2.884
2023-03-23,CAISO,Baseline,35.09,101240.16273590787,32.95,1.04,1.11,40.9,25200.502875220776,0.0,2.724778108526344,-0.22,2.884
2023-03-24,CAISO,Baseline,34.67,95237.49249376604,30.5,2.73,1.44,40.7,12703.207228875002,0.0,1.240824664406599,0.98,2.884
2023-03-25,CAISO,Baseline,38.78,112146.56628041885,35.7,1.91,1.17,41.8,20078.924175756023,0.0,2.2063694003720116,0.36,2.884
2023-03-26,CAISO,Baseline,39.05,112487.46399595095,36.03,1.61,1.41,41.6,13077.637464327021,0.0,1.42136795722843,0.93,2.884
2023-03-27,CAISO,Baseline,40.63,107099.72273130689,37.54,1.83,1.26,41.6,17119.674058137814,0.0,4.3614623205595535,-0.49,2.884
2023-03-28,CAISO,Baseline,38.84,111544.63901148894,36.42,1.3,1.12,41.0,22828.25077290849,0.0,5.961703979993519,-1.14,2.884
2023-03-29,CAISO,Baseline,37.12,97561.67114286669,35.27,0.82,1.03,42.0,21687.20276728022,0.0,1.4293267419480706,1.32,2.884
2023-03-30,CAISO,Baseline,37.77,111267.85573029977,34.99,1.59,1.19,41.2,15607.955374473355,0.0,2.1253738356172107,1.7,2.884
2023-03-31,CAISO,Baseline,37.2,100410.13159618399,33.61,2.77,0.83,41.1,7722.667474246577,0.0,3.8729628661612665,1.66,2.884
2023-04-01,CAISO,Baseline,34.97,99519.00385795753,31.53,1.78,1.65,41.5,6958.4056512799125,0.0,3.7850782609416775,1.39,3.312
2023-04-02,CAISO,Baseline,41.42,117001.32022742416,38.22,1.88,1.31,40.9,25490.379702082533,0.0,6.043417040186867,0.21,3.312
2023-04-03,CAISO,Baseline,39.71,107933.50933865756,35.81,2.4,1.5,41.0,9322.541765124282,0.0,5.356646888244317,-2.35,3.312
2023-04-04,CAISO,Baseline,38.87,110432.2443667615,35.38,2.56,0.92,40.7,19900.545832063042,0.0,5.391361914219033,0.52,3.312
2023-04-05,CAISO,Baseline,40.88,116802.17273702726,38.39,1.21,1.29,41.3,23980.070632727915,0.0,6.414158162308198,-0.23,3.312
2023-04-06,CAISO,Baseline,38.78,112439.44818962773,34.45,2.96,1.37,41.2,8524.554889584348,0.0,7.198761332050925,1.28,3.312
2023-04-07,CAISO,Baseline,39.17,108592.31494277832,36.82,1.44,0.9,40.5,11062.169915441278,0.0,4.493762538986246,-1.62,3.312
2023-04-08,CAISO,Baseline,39.04,116104.51924700585,35.33,2.17,1.54,41.8,13287.398979109297,0.0,3.7335185669565334,0.09,3.312
2023-04-09,CAISO,Baseline,43.18,125547.70675810045,38.94,2.81,1.43,41.8,5943.126036827121,0.0,7.021311508169539,0.84,3.312
2023-04-10,CAISO,Baseline,37.65,108225.18228411104,33.74,2.9,1.01,40.6,12875.793850248698,0.0,6.361641172010714,-1.35,3.312
2023-04-11,CAISO,Baseline,36.86,106879.07981921641,34.79,1.06,1.02,41.3,27964.75800040554,0.0,3.781468591847865,0.84,3.312
2023-04-12,CAISO,Baseline,38.98,104388.27162166832,34.58,3.09,1.32,41.1,16163.28531150381,0.0,5.596880707475844,0.28,3.312
2023-04-13,CAISO,Baseline,38.08,103579.16231076418,33.97,3.12,1.0,40.7,21200.368863686002,0.0,3.673684459037876,0.84,3.312
2023-04-14,CAISO,Baseline,38.91,105938.21464866836,36.74,0.89,1.28,41.3,8980.55366300667,0.0,4.768547966897401,1.98,3.312
2023-04-15,CAISO,Baseline,42.26,119877.24408453547,37.74,3.43,1.09,42.0,9332.413617736507,0.0,4.821718381497817,0.36,3.312
2023-04-16,CAISO,Baseline,39.05,103075.59449494781,34.87,2.95,1.23,41.1,22623.387541166016,0.0,6.08786018800944,1.02,3.312
2023-04-17,CAISO,Baseline,39.8,111306.45904654087,36.25,2.18,1.36,40.8,7867.399897086939,0.0,9.627238168286233,-0.38,3.312
2023-04-18,CAISO,Baseline,38.57,117554.84243762669,34.95,2.18,1.43,40.5,22434.73086363198,0.0,6.235629481803979,0.62,3.312
2023-04-19,CAISO,Baseline,35.76,107271.94407053862,34.05,1.06,0.65,41.5,18757.780862306285,0.0,7.197425505232374,1.03,3.312
2023-04-20,CAISO,Baseline,39.2,110079.84108818448,35.87,1.77,1.55,41.1,15058.49015630458,0.0,7.180491239745194,1.1,3.312
2023-04-21,CAISO,Baseline,38.91,102011.9117583108,35.22,2.5,1.19,41.2,10760.437522462571,0.0,8.254979394586421,1.37,3.312
2023-04-22,CAISO,Baseline,36.4,105678.70646157501,34.71,0.68,1.01,40.7,11525.382145852522,0.0,7.5672776982585575,-2.37,3.312
2023-04-23,CAISO,Baseline,39.83,116790.56808932389,36.96,1.85,1.02,41.1,16579.972265819102,0.0,10.368195572996001,0.23,3.312
2023-04-24,CAISO,Baseline,38.8,111733.49790581764,35.28,2.02,1.5,42.4,21282.966338956725,0.0,9.413663353361702,0.03,3.312
2023-04-25,CAISO,Baseline,33.51,90076.12902398115,30.05,2.27,1.2,40.9,19067.183806527795,0.0,6.889697366553293,1.12,3.312
2023-04-26,CAISO,Baseline,37.6,116366.61427638237,35.66,1.42,0.52,40.8,15723.778600773912,0.0,8.009047098285517,0.81,3.312
2023-04-27,CAISO,Baseline,39.18,104748.4318182085,35.22,2.37,1.59,42.3,9084.812621055258,0.0,9.452871963689823,2.11,3.312
2023-04-28,CAISO,Baseline,37.29,106534.71687358522,34.22,1.48,1.59,41.2,10301.479940816422,0.0,11.481399699337558,-0.45,3.312
2023-04-29,CAISO,Baseline,38.54,113143.12684205799,34.11,3.33,1.1,41.7,20199.611011429308,0.0,10.662318260443943,0.32,3.312
2023-04-30,CAISO,Baseline,40.41,118271.72082807333,37.66,1.44,1.31,42.1,13782.505900780232,0.0,8.741475259975587,1.09,3.312
2023-05-01,CAISO,Baseline,38.1,100330.95563876559,33.86,2.78,1.46,41.1,25422.96041836183,0.0,12.51457539976645,-0.03,2.956
2023-05-02,CAISO,Baseline,40.09,114243.72700805918,36.5,2.39,1.21,41.6,10299.66836500822,0.0,8.700110203071521,0.45,2.956
2023-05-03,CAISO,Baseline,41.03,108141.66181721636,35.46,4.21,1.37,41.4,21063.168402593925,0.0,11.317232539582044,-1.18,2.956
2023-05-04,CAISO,Baseline,37.82,106207.82483537769,33.59,3.15,1.07,41.2,10439.197415204648,0.0,10.082331298368857,0.82,2.956
2023-05-05,CAISO,Baseline,37.0,103660.08486888505,33.19,2.64,1.16,41.2,13392.238111336941,0.0,11.506423403938356,0.97,2.956
2023-05-06,CAISO,Baseline,41.6,112018.56131220295,37.15,3.47,0.97,41.4,16457.9327494442,0.0,5.711019470428287,1.74,2.956
2023-05-07,CAISO,Baseline,42.46,109152.76255876648,37.86,3.09,1.51,42.1,16858.507701944254,0.0,8.58993538117112,1.15,2.956
2023-05-08,CAISO,Baseline,39.38,114460.57822491873,36.66,1.78,0.93,41.6,21780.443063449526,0.0,8.559205030774866,-0.31,2.956
2023-05-09,CAISO,Baseline,39.46,120768.5035390945,37.02,1.36,1.09,41.9,9371.383713944517,0.0,8.003770162968685,1.62,2.956
2023-05-10,CAISO,Baseline,38.24,104058.64993158153,34.15,2.95,1.14,41.7,17614.57122433913,0.0,7.84976889762536,0.19,2.956
2023-05-11,CAISO,Baseline,39.71,120121.26688151264,36.31,2.5,0.9,42.1,25338.76947134262,0.0,10.027849962347346,0.85,2.956
2023-05-12,CAISO,Baseline,37.63,110162.27704747004,34.08,1.88,1.67,41.2,15454.33767581348,0.0,8.58153516830712,0.01,2.956
2023-05-13,CAISO,Baseline,35.83,105668.6489255477,32.69,1.7,1.44,41.3,16868.87077708676,0.0,11.621838801633071,-0.72,2.956
2023-05-14,CAISO,Baseline,36.81,101939.04440314072,33.11,2.63,1.07,41.1,24647.124527167736,0.0,11.02626829402471,1.57,2.956
2023-05-15,CAISO,Baseline,38.41,108160.26292053933,35.07,2.85,0.49,40.8,7885.351151960358,0.0,9.01181484689241,-0.45,2.956
2023-05-16,CAISO,Baseline,37.25,102985.08710459314,34.65,1.56,1.05,41.3,26955.850414531305,0.0,10.702433292879153,1.69,2.956
2023-05-17,CAISO,Baseline,38.59,96531.20728364505,32.62,4.68,1.29,41.8,26463.72113488415,0.0,10.169745112505218,-0.16,2.956
2023-05-18,CAISO,Baseline,39.95,109968.57806256646,36.07,2.74,1.14,42.0,13002.52785177133,0.0,11.148209568652451,-0.66,2.956
2023-05-19,CAISO,Baseline,39.3,104561.36327912264,36.83,1.27,1.21,40.9,30951.82112662946,0.0,10.273279591125185,1.94,2.956
2023-05-20,CAISO,Baseline,37.81,99019.43738673416,32.98,3.56,1.27,41.2,20502.56868066835,0.0,13.539711366048799,-0.23,2.956
2023-05-21,CAISO,Baseline,36.89,115276.5869445961,33.66,1.64,1.59,42.0,20197.27238534603,0.0,9.232095930360224,0.51,2.956
2023-05-22,CAISO,Baseline,38.03,102612.68141837521,35.55,0.91,1.57,40.4,9900.482936555629,0.0,10.383705739919776,0.42,2.956
2023-05-23,CAISO,Baseline,39.93,115519.00803767623,36.63,1.92,1.38,41.1,20960.43636902441,0.0,9.07652701153101,0.06,2.956
2023-05-24,CAISO,Baseline,39.56,114358.95252070947,36.96,1.15,1.45,40.7,16040.732892269096,0.0,11.497826585560404,0.8,2.956
2023-05-25,CAISO,Baseline,37.42,106267.78938706797,34.07,2.05,1.3,40.4,13695.842028972058,0.0,13.333215289977499,0.73,2.956
2023-05-26,CAISO,Baseline,38.89,113282.75558016976,35.49,2.39,1.01,41.1,18877.473515494017,0.0,11.976845254719613,-0.36,2.956
2023-05-27,CAISO,Baseline,36.71,99538.54441143757,33.5,1.99,1.22,41.9,8493.600140490205,0.0,9.57209086328777,1.7,2.956
2023-05-28,CAISO,Baseline,38.88,111536.59990454605,34.48,3.31,1.09,42.8,19741.210676189596,0.0,12.683237317175244,1.45,2.956
2023-05-29,CAISO,Baseline,38.44,112108.38189254333,35.14,1.45,1.85,41.4,22992.961029988397,0.0,14.535330393261717,0.35,2.956
2023-05-30,CAISO,Baseline,34.39,106124.08462194989,31.87,1.95,0.58,41.3,18019.046203221653,0.0,11.828274701569022,0.99,2.956
2023-05-31,CAISO,Baseline,35.05,101546.45444675208,31.68,2.22,1.15,41.6,8960.90514597886,0.0,11.127783087802289,1.22,2.956
2023-06-01,CAISO,Baseline,35.38,106629.86147886509,33.72,1.02,0.64,41.9,13240.444628519032,0.0,7.837668251567152,1.35,3.05
2023-06-02,CAISO,Baseline,36.52,107735.01609294693,34.55,1.41,0.55,42.2,22456.587178669088,0.0,10.901985382966913,-0.19,3.05
2023-06-03,CAISO,Baseline,37.9,115239.49323959465,34.18,2.29,1.43,42.0,8575.906129484361,0.0,11.506889506805987,0.93,3.05
2023-06-04,CAISO,Baseline,36.82,105144.5418153521,33.37,2.2,1.25,41.3,22068.842669504542,0.0,11.784884673779526,-0.48,3.05
2023-06-05,CAISO,Baseline,38.96,119429.10847577869,35.42,1.91,1.63,41.0,17768.54710544219,0.0,13.398130675086453,1.07,3.05
2023-06-06,CAISO,Baseline,33.94,94855.91537491503,31.28,1.8,0.87,41.9,10530.46854800107,0.0,14.25169536467763,0.32,3.05
2023-06-07,CAISO,Baseline,35.72,96550.00921420743,31.86,3.01,0.84,42.0,10355.235174075036,0.0,11.637775774501442,-1.07,3.05
2023-06-08,CAISO,Baseline,37.18,106282.42536452925,33.97,2.04,1.17,41.7,13149.31774156641,0.0,11.096067213812844,0.17,3.05
2023-06-09,CAISO,Baseline,35.95,108005.12073557837,32.81,2.55,0.59,41.9,25517.97903932955,0.0,12.378393191874078,0.73,3.05
2023-06-10,CAISO,Baseline,35.87,102473.46904555202,33.52,1.75,0.61,41.0,17454.01593316115,0.0,8.73802669506857,1.28,3.05
2023-06-11,CAISO,Baseline,39.05,108258.94220814508,36.46,1.77,0.82,41.9,27257.547250399843,0.0,16.191585796343546,0.51,3.05
2023-06-12,CAISO,Baseline,38.53,109433.12649966394,35.44,1.81,1.28,42.0,27379.462835494076,0.0,12.45343541744337,0.19,3.05
2023-06-13,CAISO,Baseline,37.64,106007.99292089522,35.73,0.97,0.95,41.6,17717.428212080707,0.0,9.889101787726531,1.16,3.05
2023-06-14,CAISO,Baseline,39.4,107607.66325967714,35.39,2.64,1.37,41.4,26291.353791882615,0.0,13.900180672869322,0.64,3.05
2023-06-15,CAISO,Baseline,39.63,105040.59654163086,34.81,3.69,1.13,42.0,14605.69971518528,0.0,11.627220406472702,1.53,3.05
2023-06-16,CAISO,Baseline,40.0,111966.22490399351,36.45,2.54,1.01,41.9,20912.32498210918,0.0,10.859559734685448,0.98,3.05
2023-06-17,CAISO,Baseline,34.83,100501.90778394345,33.31,0.81,0.71,41.6,30048.146778219194,0.0,12.785895401198779,0.33,3.05
2023-06-18,CAISO,Baseline,38.95,107305.90618564232,35.36,2.87,0.72,41.5,24621.095728683813,0.0,8.553328355676484,-0.21,3.05
2023-06-19,CAISO,Baseline,37.07,103805.4324069867,33.68,2.19,1.21,41.8,27698.289694822073,0.0,13.204940357001782,-1.11,3.05
2023-06-20,CAISO,Baseline,38.21,106982.21461335647,35.04,1.73,1.44,42.4,18718.441771307815,0.0,6.4867391430086165,-0.44,3.05
2023-06-21,CAISO,Baseline,36.47,100464.53917545825,33.16,2.39,0.92,41.9,7884.227821455909,0.0,12.014061884345079,-0.08,3.05
2023-06-22,CAISO,Baseline,34.14,99506.95095332389,31.61,1.47,1.06,41.1,17848.236660308572,0.0,13.352953729209684,1.4,3.05
2023-06-23,CAISO,Baseline,36.39,105058.56171967983,32.89,2.55,0.96,42.5,8123.716353915168,0.0,13.196358686524047,0.74,3.05
2023-06-24,CAISO,Baseline,39.17,113884.96542568036,35.8,2.61,0.77,41.4,13705.936160392968,0.0,12.90803432651586,-1.74,3.05
2023-06-25,CAISO,Baseline,39.52,102621.38318229739,36.31,1.91,1.31,41.7,22391.072830550795,0.0,11.18417253620774,1.51,3.05
2023-06-26,CAISO,Baseline,38.61,113216.18794748759,34.88,2.63,1.1,40.9,8426.085006505797,0.0,10.152156327343029,1.16,3.05
2023-06-27,CAISO,Baseline,32.41,94600.93691809848,29.19,2.75,0.48,40.9,21109.58573249112,0.0,11.885527364739616,0.48,3.05
2023-06-28,CAISO,Baseline,39.87,113018.36619042225,36.33,2.14,1.4,41.8,5913.451670687372,0.0,9.496121802754665,1.13,3.05
2023-06-29,CAISO,Baseline,34.14,90027.07122897454,30.08,2.66,1.4,41.6,12852.950116447964,0.0,10.23242335649731,-1.72,3.05
2023-06-30,CAISO,Baseline,35.59,93595.50436576156,32.46,2.31,0.82,41.4,23227.424975429596,0.0,11.326006260629164,-0.07,3.05
2023-07-01,CAISO,Baseline,38.93,107317.58108186472,36.28,1.19,1.45,41.3,27435.257335739458,0.0,13.995277179069966,1.16,2.824
2023-07-02,CAISO,Baseline,36.77,106039.72792104782,32.69,2.27,1.81,41.0,25979.45424687922,0.0,10.812794069633497,0.55,2.824
2023-07-03,CAISO,Baseline,35.71,100971.31982923638,31.92,2.48,1.31,41.4,21316.98625006742,0.0,7.911731033959523,0.6,2.824
2023-07-04,CAISO,Baseline,36.78,100223.1693850222,32.52,2.52,1.74,41.7,22806.710778272096,0.0,11.593166308329767,0.36,2.824
2023-07-05,CAISO,Baseline,37.39,104752.44960993918,33.94,2.63,0.82,42.3,8099.94899775494,0.0,9.012639614132002,-0.14,2.824
2023-07-06,CAISO,Baseline,36.59,104273.9081801676,33.55,1.61,1.42,42.6,15220.658644016934,0.0,10.315458031630452,0.35,2.824
